method,k,alpha,log_base,sample,class,sample_silhouette_score,status,global_silhouette_non_singleton,species,group,group_id
Jensen_Shannon_distance,21,0.0,2.0,GCA_000157875.1_ASM15787v1_genomic.fa,Brucella_sp,0.21264368,clear,0.24215059,Brucella sp. 83/13,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_000158995.1_ASM15899v1_genomic.fa,Brucella_sp,0.31646646,clear,0.24215059,Brucella sp. F5/99,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_000163135.1_ASM16313v1_genomic.fa,Brucella_sp,0.33573263,clear,0.24215059,Brucella sp. NVSL 07-0026,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,Brucella_sp,0.11048913,clear,0.24215059,Brucella sp. 56/94,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,Brucella_sp,0.35154398,clear,0.24215059,Brucella sp. 63/311,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,Brucella_sp,0.40667885,clear,0.24215059,Brucella sp. F23/97,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,Brucella_sp,0.30770116,clear,0.24215059,Brucella sp. F5/06,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,Brucella_sp,0.40885574,clear,0.24215059,Brucella sp. F8/99,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,Brucella_sp,0.36685579,clear,0.24215059,Brucella sp. F96/2,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,Brucella_sp,0.32741557,clear,0.24215059,Brucella sp. UK1/97,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,Brucella_sp,0.40430158,clear,0.24215059,Brucella sp. UK40/99,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,Brucella_sp,0.3949274,clear,0.24215059,Brucella sp. 04-5288,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_000691585.1_ASM69158v1_genomic.fa,canis,,not_computed,0.24215059,Brucella canis,canis,3
Jensen_Shannon_distance,21,0.0,2.0,GCA_000740135.1_ASM74013v1_genomic.fa,abortus,0.44901081,clear,0.24215059,Brucella abortus,abortus,0
Jensen_Shannon_distance,21,0.0,2.0,GCA_000740155.1_ASM74015v1_genomic.fa,abortus,0.42644138,clear,0.24215059,Brucella abortus,abortus,0
Jensen_Shannon_distance,21,0.0,2.0,GCA_000740235.1_ASM74023v1_genomic.fa,suis,,not_computed,0.24215059,Brucella suis,suis,2
Jensen_Shannon_distance,21,0.0,2.0,GCA_000740275.1_ASM74027v1_genomic.fa,pinnipedialis,,not_computed,0.24215059,Brucella pinnipedialis,pinnipedialis,4
Jensen_Shannon_distance,21,0.0,2.0,GCA_001307475.2_ASM130747v2_genomic.fa,melitensis,,not_computed,0.24215059,Brucella melitensis,melitensis,1
Jensen_Shannon_distance,21,0.0,2.0,GCA_001715385.1_ASM171538v1_genomic.fa,Brucella_sp,0.39014071,clear,0.24215059,Brucella sp. 2002734562,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_001742815.1_ASM174281v1_genomic.fa,Brucella_sp,-0.04387516,possibly_misplaced,0.24215059,Brucella sp. B13-0095,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_001971625.1_ASM197162v1_genomic.fa,Brucella_sp,-0.16725261,possibly_misplaced,0.24215059,Brucella sp. 09RB8471,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_001971805.1_ASM197180v1_genomic.fa,Brucella_sp,-0.17461733,possibly_misplaced,0.24215059,Brucella sp. 09RB8910,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_009601725.1_ASM960172v1_genomic.fa,Brucella_sp,0.12789223,clear,0.24215059,Brucella sp. 2280,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_014084005.1_ASM1408400v1_genomic.fa,Brucella_sp,0.16407539,clear,0.24215059,Brucella sp. DSM 103976,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_014495905.1_ASM1449590v1_genomic.fa,Brucella_sp,0.21732354,clear,0.24215059,Brucella sp. 6810,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_015832115.1_ASM1583211v1_genomic.fa,Brucella_sp,0.04180108,weak/ambiguous,0.24215059,Brucella sp. BO2,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_900000005.1_BVF60_genomic.fa,vulpis,,not_computed,0.24215059,Brucella vulpis,vulpis,5
Jensen_Shannon_distance,21,0.0,2.0,GCA_900092405.1_10RB9215v1_genomic.fa,Brucella_sp,0.19491157,clear,0.24215059,Brucella sp. 10RB9215,Brucella_sp,7
Jensen_Shannon_distance,21,0.0,2.0,GCA_900095155.1_BR141012304v1_genomic.fa,inopinata,,not_computed,0.24215059,Brucella inopinata,inopinata,6
